ID,meaning,semantic tag,Etymon ID,Etymon,root,root in script,Part of Speech,language,prefix Conj 1,prefix Conj 1 IPA,Prefix conj 2,Prefix conj 2 IPA,Suffix conj,Suffix conj IPA,infinitive,infinitive IPA,participle,participle IPA,PC thematic vowel,SC thematic vowel,stem,complement (separate complements with semi colon if they have a different meaning),tag,Donor language (in case of borrowing),Donor word (in donor language),Data source,notes
V116,to tie,PA_BI,ETYMONV61,,,אסר,verb,Hebrew,yeˀsōr,yeʔᵗso:r,NA,NA,ˀāsar,ʔɔᵗsar,"ˀĕsōr, ˀāsōr","ʔəᵗso:r, ʔɔᵗso:r",ˀōsēr,ʔo:ᵗse:r,u,a,G,,,,,,
V117,to tie,PA_BI,,,rbt',ر ب ط,verb,Arabic,yarbuṭ,jarbut',NA,NA,rabaṭa,rabat'a,rabṭ,rabt',rābiṭ,ra:bit',u,a,G,,,,,,
ETYMONV60,,PA_BI,,ksj,,,verb,Proto-Semitic,,,,,,,,,,,,,,,,,,,
ETYMONV61,,PA_BI,,ʔtsr,,,verb,Proto-Semitic,,,,,,,,,,,,,,,,,,,
V118,to see,SP_SE,ETYMONV62,,,,verb,Akkadian,īmur,i:mur,immar,immar,amir,amir,amārum,ama:rum,āmir,a:mir,u,i,G,,,,,,
V119,to see,SP_SE,ETYMONV63,,ħzj,ܚ ܙ ܝ,verb,Syriac,neḥzē,neħze:,NA,NA,ḥzā,ħza:,meḥzā,meħza:,ḥāzē,ħa:ze:,,,G,,,,,,
V120,to see,SP_SE,ETYMONV64,,rʔj,ረ አ የ,verb,Ethiopic,yərˀay,jɨrʔay,yərəˀˀi,jɨrɨʔʔi,rəˀya,rɨʔja,rəˀiy,rɨʔij,,,a,i/u,G,,,,,,
V121,to see,SP_SE,ETYMONV64,,,ראה,verb,Hebrew,yirˀê,yirʔe:,NA,NA,rāˀâ,rɔʔɔ,"rĕˀōh, rĕˀôt, rāˀô","rəʔo:, rəʔo:t, rɔʔo:",rōˀê,ro:ʔe:,i,a,G,,,,,,
V122,to see,SP_SE,,,rʔj,ر ء ي,verb,Arabic,yarā,jara:,NA,NA,raˀā,raʔa:,"raˀy, ruˀya",raʔj ruʔja,rāˀin,ra:ʔin,,,G,,,,,,
ETYMONV62,,SP_SE,,ʔmr,,,verb,Proto-Semitic,,,,,,,,,,,,,,,,,,,
ETYMONV63,,SP_SE,,ħzj,,,verb,Proto-Semitic,,,,,,,,,,,,,,,,,,,
ETYMONV64,,SP_SE,,rʔj,,,verb,Proto-Semitic,,,,,,,,,,,,,,,,,,,
V123,to crush/grind,FD_GR,,,,,verb,Akkadian,ippuṣ,ippus',inappaṣ,inappas',napiṣ,napis',napāṣum,napa:s'um,nāpiṣ,na:pis',u,i,G,,,,,,
V124,to crush/grind,FD_GR,,,,,verb,Syriac,neruṣ,,,,,,,,,,,,,,,,,,
V125,to crush/grind,FD_GR,,,,,verb,Ethiopic,,,,,,,,,,,,,,,,,,,
V126,to crush/grind,FD_GR,,,,,verb,Hebrew,,,,,,,,,,,,,,,,,,,
V127,to crush/grind,FD_GR,,,,,verb,Arabic,,,,,,,,,,,,,,,,,,,
