ID,meaning,semantic tag,Etymon ID,Etymon,pS root,Part of Speech,language,script,transliteration,Sem normalization,IPA singular,gender,f markedness,pS pattern,Sem normalization pl,IPA plural,pS plural pattern,PS plural suffix,deptotic,"Tag (popularity) insert word. rate, archaic, wanderwort, borrowed. ambiguous. no derivation [for primary nouns] primary nouns [divide with commas], deptotic",Donor language (in cases of borrowing),Donor word (in the original language),data source,Notes
N109,wine,FD_WI,,ħamar,,noun,Syriac,ܚܡܪ,ḥmr,ḥmār,ħma:r,M,FALSE,*qita:l,ḥmārē,ħma:re:,same,*u:,,,,,,
N110,wine,FD_WI,ETYMON31,,,noun,Ethiopic,,,wäyn,,,,,,,,,,,,,,
N111,wine,FD_WI,ETYMON31,,,noun,Hebrew,יין,yyn,yayin,yayin,M,FALSE,*qatl ,NA,NA,NA,NA,,borrowed?,,,,
N112,wine,FD_WI,,,,noun,Arabic,,,,,,,,,,,,,,,,,
ETYMON31,,FD_WI,,wyn,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
A1,far,SR_FR,,,,adjective,Akkadian,,,nesû,nesu:,,,qital?,,,,,,,,,,
A2,far,SR_FR,ETYMON32,,,adjective,Syriac,ܪܚܝܩ,rḥyq,raḥḥiq,raħħi:q,,,qattil,,,,,,,,,,
A3,far,SR_FR,ETYMON32,,,adjective,Ethiopic,ርሑቅ,rəḥuqə,rəḥuq,rɨħuk’,,,qatul,,,,,,,,,,
A4,far,SR_FR,ETYMON32,,,adjective,Hebrew,רחוק,rḥq,rāḥôq,ra:ħo:k',,,qatul,,,,,,,,,,
A5,far,SR_FR,,,,adjective,Arabic,بعيد,bˤyd,baˤīd,baʕi:d,,,,,,,,,,,,,
ETYMON32,,SR_FR,,raħvk’,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
N113,house,DF_HS,ETYMON33,,,noun,Akkadian,,,bīt,bi:t,M,FALSE,qatl,bītāt,bi:ta:t,same,a:t,,,,,,
N114,house,DF_HS,ETYMON33,,,noun,Syriac,ܒܝܬ,byt,bet,bet,M,FALSE,qatl,bāttē,ba:tte:,*qatall,*u:,,,,,,
N115,house,DF_HS,ETYMON33,,,noun,Ethiopic,ቤት,betə,bet,bet,,FALSE,qatl,ʼabyāt,ʔabja:t,*ʔaqta:l,,,,,,,
N116,house,DF_HS,ETYMON33,,,noun,Hebrew,בית,byt,bāyīt,ba:ji:t,M,FALSE,qatl,bāttīm,ba:tti:m,qatall,u:,,,,,,
N117,house,DF_HS,ETYMON33,,,noun,Arabic,بيت,byt,bayt,bajt,M,FALSE,qatl,"buyūt, buyūtāt","buju:t, buju:ta:t",*qutu:l,a:t,,,,,,
ETYMON33,,DF_HS,,bajt,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N118,stone/rock,PW_SR,ETYMON34,,,noun,Akkadian,,,abn,abn,BOTH,FALSE,qatl,"abnū, abnāt","abnu:, abna:t",same,"u:, a:t",,,,,,
N119,stone/rock,PW_SR,,,,noun,Syriac,ܟܐܦ,kʼp,kêp,ke:p,F,FALSE,,kêpē,ke:pe:,same,*u:,,,,,,
N120,stone/rock,PW_SR,ETYMON34,,,noun,Ethiopic,እብን,ʼəbənə,ʼəbn,ʔɨbn,,FALSE,*qutl/qitl,"ʼəban, ʼaʼbān, ʼaʼbānāt","ʔɨban, ʔaʔba:n, ʔaʔba:na:t","qi/utal, ʔaqta:l",a:t,,,,,,
N121,stone/rock,PW_SR,ETYMON34,,,noun,Hebrew,אבן,ˀbn,ˀeben,ˀeben,F,FALSE,qatl,ˀăbānīm,ʔaba:ni:m,qatal,u:,,,,,,
N122,stone/rock,PW_SR,,,,noun,Arabic,حجر,ḥǧr,ḥaǧar,ħad͡ʒar,M,FALSE,*qatal,"ʼaḥǧār, ḥiǧāra, ḥiǧār","ʔaħd͡ʒa:r, ħid͡ʒa:ra, ħid͡ʒa:r","*ʔaqta:l, qita:la, qita:l",,,,,,,
ETYMON34,,PW_SR,,ʔabn,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
A6,bitter,SP_BI,ETYMON35,,,adjective,Akkadian,,,murr,murr,,,qutl,,,,,,,,,,
A7,bitter,SP_BI,ETYMON35,,,adjective,Syriac,ܡܪܝܪ,mryr,marrir,marrir,,,qattil,,,,,,,,,,
A8,bitter,SP_BI,ETYMON35,,,adjective,Ethiopic,ምሩር,mərurə,mərur,mɨrur,,,qatul,,,,,,,,,,
A9,bitter,SP_BI,ETYMON35,,,adjective,Hebrew,מר,mr,mar,marr,,,qatl,,,,,,,,,,
A10,bitter,SP_BI,ETYMON35,,,adjective,Arabic,مر,mr,,murr,,,,,,,,,,,,,
ETYMON35,,SP_BI,,marr,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
N123,tooth,BP_TO,ETYMON36,,,noun,Akkadian,,,šinn,ʃinn,F,FALSE,qitl,"šinnāt, šinnān","ʃinna:t, ʃinna:n",same,"u:, a:n",,,,,,
N124,tooth,BP_TO,ETYMON36,,,noun,Syriac,ܫܢ,šn,šenn,ʃenn,M,FALSE,*qitl,šennē,ʃenne:,same,*u:,,,,,,
N125,tooth,BP_TO,ETYMON36,,,noun,Ethiopic,ስን,sənə,sənn,sɨnn,,FALSE,*qitl,"sənan, ʼasnān","sɨnan, ʔasna:n","qi/utal, ʔaqta:l",,,,,,,
N126,tooth,BP_TO,ETYMON36,,,noun,Hebrew,שן,šn,šenn,ʃe:nn,F,FALSE,*qitl,šinnīm,ʃinni:m,same,*u:,,,,,,
N127,tooth,BP_TO,ETYMON36,,,noun,Arabic,سن,sn,sinn,sinn,F,FALSE,*qitl,"ʼasnān, ʼasinna, ʼasunn","ʔasna:n, ʔasinna, ʔasunn","ʔaqta:l, ʔaqitla, ʔaqutl",,,,,,,
